Critic,4,80,FALSE,88,Chicago Sun-Times,To be sure, we get a classic comic book movie storyline about a megalomaniacal madman intent on taking over the world, but there’s often a relatively light tone to the proceedings. This is a throwback piece of pure pop entertainment.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Critic,1,20,TRUE,80,The Observer (UK),While some sections of the globe-trotting plot strike a baggy, backward-looking note, it’s the smaller moments that make this fly, particularly when the film uses fantasy to turn horribly real everyday harassments into moments of air-punching triumph.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Critic,3,60,FALSE,75,Polygon,The current DC movie universe is always dark, but it seems that with a movie drenched in the neon aesthetic of the ’80s, they’ve finally found a way to dim even Wonder Woman’s light.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Critic,4,80,FALSE,75,Entertainment Weekly,It takes some time to get to the major action set pieces (other than the prologue, which is gorgeous), but it’s too much of a pleasure to live in this well-realized place, populated by a quartet of capable and charismatic stars, to really care.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Critic,2,40,TRUE,75,IndieWire,Wonder Woman 1984 is all about playing with magic and wishes and desires, only to see them lead to horrible ramifications, instant gratification, and the revelation that lying is never without consequence. Those are some big swings, and not every single one lands, but the ones that do are both joyous and genuinely worth pondering.,,,,,,,,,,,,,,,,,,,,,,,,,,,
Critic,4,80,FALSE,70,Uproxx,Wonder Woman 1984 is pure sugar. There’s little nutritional value. But we all deserve dessert right now.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Critic,3,60,FALSE,67,Consequence of Sound,The messy plot will lose some, and others will find its over-saccharine emotions a reach, but to paraphrase Steve’s description of flight: If you can catch the movie’s uplifting wind, it will transcend the sum of its parts.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Critic,3,60,FALSE,65,Film Threat,Wonder Woman is not a horrible film and gets a very mediocre good from me. I liked it for what it is, but the expectation of something bigger and better was not met, and honestly, what I prefer in big-budget movies. I think this will be the general reaction to the film, and this is probably why, especially if you were expecting something as spectacular as the first Wonder Woman.,,,,,,,,,,,,,,,,,,,,,,,,,,,
Critic,4,80,FALSE,63,ReelViews,Wonder Woman 1984 is overlong, tonally inconsistent, and poorly paced. Although it raises the bar during its final hour, the viewer has to navigate about 90 minutes of action-deficient, sometimes nonsensical narrative to get to the point where the title character (again played to perfection by Gal Gadot) does something other than moon over her lost love, Steve Trevor (Chris Pine).,,,,,,,,,,,,,,,,,,,,,,,,,,,
Critic,4,80,FALSE,63,Washington Post,For the first hour and a half, WW84 is a delightful flight of escapist fancy, with Diana and Steve's love story ensconcing itself comfortably, if a bit talkily, within the confines of an action adventure. Then, at the 90 minute mark, it’s as if Jenkins remembers her other deliverables, in the form of special effects, epic global crises and a plotty, ever-more-muddled story line that metastasizes into something much darker and more violent.,,,,,,,,,,,,,,,,,,,,,,,
Critic,4,80,FALSE,63,Observer,Is Wonder Woman 1984 entertaining? Sure, it’s fun, hits all the right superhero marks, and visually, the 1980-something world is a technicolor throwback to behold. But if our heroine is supposed to represent the good and hope for all humanity, one has to wonder who specifically this humanity is reserved for.,,,,,,,,,,,,,,,,,,,,,,,,,,,
Critic,5,100,TRUE,63,The Seattle Times,Wonder Woman 1984 feels a bit perfunctory; just another massive superhero movie, with little fresh brought to the mix.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Critic,4,80,FALSE,63,Slant Magazine,The film shows a preference for forgiveness over vengeance, which feels like an okay way to end this particular year.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Critic,4,80,FALSE,63,Chicago Tribune,It’s a moderately diverting sequel. That means it’s also a distinct drop down from the 2017 origin story.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Critic,5,100,TRUE,60,CineVue,WW84 is far from perfect: its length and fumbling of Minerva’s arc are chief among its sins, but equally there are no denying its simple, vibrant charms. Much like Christopher Reeves as Superman, Gal Gadot simply is Wonder Woman – and this latest entry is undoubtedly her most fun, spectacular and charming yet.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Critic,1,20,TRUE,60,ABC,You'd have to be a real Grinch to hate on a blockbuster sequelthat's so puppy-eager to please. But despite the fem power of star Gal Gadot and director Patty Jenkins, all the CGI huffing and puffing over 2 1/2 hours can deflate momentum and audience endurance..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Critic,3,60,FALSE,60,The Irish Times,The longer it goes on, however, the less fun and more earnest it becomes.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Critic,3,60,FALSE,60,Rolling Stone,Courtesy of the stars, and of the filmmaker’s clear affection for her subject, there’s a little more soul here than there had to be, thankfully. That’s not everything. It’s also not nothing.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Critic,2,40,FALSE,60,Time,As an amusement designed to take the world’s mind off its problems for a few hours, Wonder Woman 1984 is perfectly suitable. But it’s also OK to wish for less noise and more wonder, especially in a world that’s filled with the former and sorely in need of the latter.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Critic,4,80,FALSE,60,Variety,For nearly two hours of its 151-minute runtime, Wonder Woman 1984 accomplishes what we look to Hollywood tentpoles to do: It whisks us away from our worries, erasing them with pure escapism.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Critic,5,100,TRUE,60,Vanity Fair,In its best stretches—the first hour of the film, let’s say—WW84 sweetly revels in its old-school trappings, its hokey mystery, its goofy villain, its resourceful hero. The film is light on its feet, colorful and playful in a way not seen elsewhere in the DC Universe.,,,,,,,,,,,,,,,,,,,,,,,,,,,
Critic,3,60,FALSE,60,The Hollywood Reporter,There's still a lot to love. Gadot remains a charismatic presence who wields the lasso with authority, even tethering lightning bolts in some arresting moments. However, I missed the more hand-to-hand gladiatorial aspect of so many fight scenes in the first movie.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Critic,3,60,FALSE,60,Vox,Large adult sad boys who want to take over the world and launch it into an apocalypse is something we’ve seen before (see: Loki in Avengers, Ultron in Avengers: Age of Ultron, Luther and Doomsday in Batman v. Superman: Dawn of Justice, Steppenwolf in Justice League). This formulaic story is something fit for the other guys. The more time spent on it, the less time WW1984 spends being wondrous.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Critic,1,20,TRUE,60,The Guardian,This is an epically long and epically brash film from director and co-writer Patty Jenkins, but Gadot has a queenly self-possession and she imposes her authority on it.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Critic,3,60,FALSE,60,The Telegraph,So if Wonder Woman 1984 is playing near you, should you pounce? If it even remotely appeals, I’d say absolutely – even though the film itself, a direct sequel to 2017’s Wonder Woman, is a bit of a marshmallowy muddle.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Critic,4,80,FALSE,58,The Film Stage,Once the story reaches its emotional crest, all the foundational work gets lost in the plot’s momentum.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Critic,5,100,TRUE,58,The A.V. Club,Wonder Woman 1984 is lively and bright and entertaining enough that it only occasionally feels like it’s going to go on forever. But it’s hard to get past what seems like a lack of consideration—or perhaps concern— for what motivates Diana Prince, or what fans like about her.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Critic,4,80,TRUE,50,RogerEbert.com,Gadot remains a winning and winsome figure in “Wonder Woman 1984,” and she retains her authentic connection with the audience, but the machinery around her has grown larger and unwieldy. Maybe that was inevitable, the urge in crafting a sequel to make everything wilder and brasher, more sprawling and complicated. In the process, though, the quality that made the original film such a delight has been squashed almost entirely.,,,,,,,,,,,,,,,,,,,,,,,,,,
Critic,3,60,FALSE,50,San Francisco Chronicle,It’s a grand bogus mess passing itself off as a philosophical statement. It has its moments, but they’re few. Often, it’s a beautiful-looking film — but it’s beauty without substance.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Critic,1,20,TRUE,50,Boston Globe,The sequel isn’t a disaster, but it’s a dud.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Critic,3,60,FALSE,50,Original-Cin,You want to escape? Well, there’s a couple of hundred million U.S. dollars up on the screen for action and special effects, and retro amusement provided by pastel-coloured shopping malls, big shoulder pads, and Sony Walkmans.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Critic,4,80,TRUE,50,CNN,While there are some visually striking action sequences as Diana and her new super-powered foe square off -- and Gadot remains extremely appealing in humanizing the character -- the last act devolves into a bit of a mess.,a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Critic,1,20,FALSE,40,The New York Times,Patty Jenkins is behind the camera again, but this time without the confidence. Certainly some of the problems can be pinned on the uninterestingly janky script, a mess of goofy jokes, storytelling clichés and dubious politics.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Critic,3,60,FALSE,40,ScreenCrush,Pretty much everything in Wonder Woman 1984 that’s not an excuse for a Gadot and Pine reunion flops. That includes both of its villains.,a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Critic,3,60,FALSE,40,Wall Street Journal,The sensibility of the earlier production has been transformed, despite Ms. Gadot’s continuing authority. Wit has been replaced by feverish caricature, feeling by sentimentality, and Wonder Woman is left with almost nothing to do for long stretches of a very long and disjointed story.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Critic,2,40,FALSE,40,Austin Chronicle,Jenkins had an opportunity to build on the flawed but rousing headlining debut of DC's greatest woman warrior. Instead, she delivered the modern DC Extended Universe's Superman III. It's a lumpen mass of half-ideas and glaring fan service, topped by a horrendous montage ending that is clearly designed to inspire hope, courage, and kindness, but will more likely make everyone wonder if that was why they waited two and a half hours.,,,,,,,,,,,,,,,,,,,,,,,,,,,
Critic,4,80,TRUE,38,LarsenOnFilm,When you hit a home run with Gadot, who was so thrilling in the 2017 film, you might want to make a sequel that keeps her at the center.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Critic,1,20,FALSE,33,The Playlist,A movie that is fundamentally ill-conceived, poorly written, and missing most of the basic charms that made the original “Wonder Woman” such a delight (minus the last act). Directed again by Patty Jenkins, the film is also something of a nonsensical mess narratively, even by the most lenient and forgiving standards of superhero movies where fantastical, impossible things routinely occur. Suspension of disbelief is crucial to this genre, but ‘WW84’ is constantly breaking or conveniently upgrading its rules in ways that definitely break or at least always test your suspension of disbelief.,,,,,,,,,,,,,,,,,,,,,,,,,,
Critic,1,20,FALSE,30,New York Magazine (Vulture),Sadly, all that glittered in the franchise’s first outing is gone in Wonder Woman 1984. The disappointing sequel highlights not only the dire state of the live-action superhero genre in film, but the dire state of Hollywood filmmaking as a whole.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User,1,2,FALSE,3,ScienceAdvisor,Cringe inducing moments that include horrible cgi, terrible story elements, and unbelievable action sequences that make the first movie look perfect by comparison.  The director really undid any credit from the first movie, and I am sureCringe inducing moments that include horrible cgi, terrible story elements, and unbelievable action sequences that make the first movie look perfect by comparison.  The director really undid any credit from the first movie, and I am sure Warner is claiming this is all due to Covid-19 and counting on the bailout to hide this failure.  Given the 10s, the shills are out but nothing can cover-up how bad this is.  Hell, they had to keep Gal showing a lot of skin during the entire movie to keep any interest and distract attention from things like the lasso dissapearing from both her hands and suddenly being coiled on her him in 1/10th of a second, or being normally dressed to being in WW costume in same amount of time (after she hops out of the car mid movie).  This is a parody, not a real movie.,,,,,,,,,,,,,,,,,,,,,,
User,1,2,FALSE,2,chlorohydra,I barely made it through!Is this movie really finished? It looks like it’s either half done or rushed...or both.,a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User,1,2,FALSE,0,Elrikk,We didn’t enjoy, but rather we endured this 2 1/2 hour waste of time.  This is a perfect example of all that is wrong with Hollywood.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User,1,2,FALSE,4,TheKleaner,Underwhelming and forgettable. It was like watching the tv series back in the 70’s. Corny and blah...,a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User,1,2,FALSE,2,kleindropper,"WHAT A DISASTER. It's no wonder they turned this loose for free on HBO.  It's the perfect combination of ""fall asleep"" boredom"," ""laugh out loud"" stupidity"," and ""check your phone as a distraction"" cringe.   As for the action? I can't decide ifWHAT A DISASTER. It's no wonder they turned this loose for free on HBO.  It's the perfect combination of ""fall asleep"" boredom"," ""laugh out loud"" stupidity"," and ""check your phone as a distraction"" cringe.   As for the action? I can't decide if it compares better to Superman 3 or Superman 4", but its right at those levels of hilarious cartoonish-ness.  After the first 30 minutes, you will be checking the timer over and over to see how much of the movie is left, and by the time the never-ending climax rolls around you'll be begging for someone to put you out of your misery.  I gave it 2 points for Gal Gadot's occasional smile into the camera, otherwise AVOID AT ALL COSTS.,,,,,,,,,,,,,,,,,,,,,,,,
User,1,2,FALSE,1,BrutallyHnstGmr,The worst DC movie yet.  The sloppy writing and completely incoherent plot ruins this movie.  Things and rules are established though we both know that magic shouldn't exist in this DC universe from the other movies, but still there areThe worst DC movie yet.  The sloppy writing and completely incoherent plot ruins this movie.  Things and rules are established though we both know that magic shouldn't exist in this DC universe from the other movies, but still there are rules.  However, the movie will break its own rules for the sake of progressing the movie, and since we all know everything will be fine since we have Justice League and Batman v Superman in a later timeline, the stakes in 84 don't matter.  The movie is to long and to conveluted to make you care since the outcome is already known.  Sadly as I like all the other DC movies up to this point, this will not be a rewatch and we'll just pretend this never happened.,,,,,,,,,,,,,,,,,,,,,,,,,,
User,1,2,FALSE,0,kempb1a,Unwatcheably bad," an incoherent mess. The whole idea of the ""dreamstone"" is so cheesily and poorly introduced", you don't care what is going on because the plot is so cartoonish. Kristen Wiig was awful, Pedro Pascal completely wasted, nothingUnwatcheably bad," an incoherent mess. The whole idea of the ""dreamstone"" is so cheesily and poorly introduced", you don't care what is going on because the plot is so cartoonish. Kristen Wiig was awful, Pedro Pascal completely wasted, nothing in this movie works.  Even the scenes of Diana and Steve Trevor seem meaningless because he isn't really back he is just a figment of her imagination.,,,,,,,,,,,,,,,,,,,,,,,,
User,1,2,FALSE,3,Underachiever,I had anticipated this movie's release and looked forward to the second installment of Wonder Woman after enjoying the first film. I was sadly very disappointed to see that Warner Brothers and DC still haven't gotten the message and continueI had anticipated this movie's release and looked forward to the second installment of Wonder Woman after enjoying the first film. I was sadly very disappointed to see that Warner Brothers and DC still haven't gotten the message and continue to squander beloved characters, great casts on poorly executed and poorly written scripts and storylines. Only redeeming qualities are some well choreographed fight scenes that felt reminiscent of the first film and some of the art direction for Cheetah and Wonder Woman key scenes. Gal Gadot is still the picture esque modern Wonder Woman with a heart of gold. Everything else feels poorly pieced together and leaves you confused and left wanting something better. Some moments were almost satirical and I found myself laughing at moments that were designed to create tension (children in a road). Pedro Pascal does well working with a character whose motivations and powers grow faster than character development. Warner Brothers continues their tradition of mediocre superhero movies in a post Avengers world. That said if you are a fan of the superhero genre and already have a HBO Max account watch it with lowered expectations.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User,1,2,FALSE,3,imthenoob,Folks, This is a long and boring 2 and a half hour movie that just becomes too full of itself at times. The cast does a wonderful job but there is simply no substance in the story to make it worthwhile. If I had gone to see this in theatres,Folks, This is a long and boring 2 and a half hour movie that just becomes too full of itself at times. The cast does a wonderful job but there is simply no substance in the story to make it worthwhile. If I had gone to see this in theatres, I would have walked out well before it was over. They really should have edited this movie downs some more and make it more bearable to watch.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User,1,2,FALSE,3,Wesman94,This movie was terrible there were plot holes and inconsistencies through out the whole movie.,a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User,1,2,FALSE,2,Sindregud,Doesn’t live up to the original. Convoluted story where nothing happens and the story never really progresses, you feel the runtime with this one. Lack of heart and the innocence Diana had in the first is absent in this one and her chemistryDoesn’t live up to the original. Convoluted story where nothing happens and the story never really progresses, you feel the runtime with this one. Lack of heart and the innocence Diana had in the first is absent in this one and her chemistry with Steve suffers from that. All in all really disappointing.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User,1,2,FALSE,0,geodeo,What a waste of time,  unbelievably bad and makes sense why it was rushed to hbo max. dismal in every regard and a fatal blow to all involved in its creation.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User,1,2,FALSE,4,dleclair,There were plot holes big enough for a WWI pilot to fly a modern jet through.Script was quite poor and the special effects felt unfinished. I think maybe Warner Brothers knew this was going to be a VOD/straight to home release and cheapedThere were plot holes big enough for a WWI pilot to fly a modern jet through.Script was quite poor and the special effects felt unfinished. I think maybe Warner Brothers knew this was going to be a VOD/straight to home release and cheaped out on finishing a quality edit. The first 10 minutes of the movie feel like a film of higher caliber, then it degrades to a made-for-TV movie complete with some Hallmark-channel fake snow.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User,2,4,FALSE,0,Whitelite99,All of the things that made the first movie so good are removed. Long, boring, joyless and so cheesy most of the movie doesn’t hold up to even the slightest bit of scrutiny. Even for seeing it free I want a refund.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User,1,2,FALSE,1,JP92389,What a total disaster of a movie... Boring, slow and with terrible jokes that just made you feel like the movie was trying way to hard to be a marvel film. DC cinematic universe needs to find its identity before they too have to be sold toWhat a total disaster of a movie... Boring, slow and with terrible jokes that just made you feel like the movie was trying way to hard to be a marvel film. DC cinematic universe needs to find its identity before they too have to be sold to the Disney overlords.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User,1,2,FALSE,1,MovieKing,This is the garbage we get after months of being able to fix the film with covid? WB has been a giant disappointment with all the DC movies. I give up!,a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User,1,2,FALSE,0,TheTechGuy,I didn’t expect it to be good. But the poor writing and acting was a surprise. The enemies in this movie was sad. The movies coming out of Hollywood have really been disappointing more often than not. I don’t see things getting better anytimeI didn’t expect it to be good. But the poor writing and acting was a surprise. The enemies in this movie was sad. The movies coming out of Hollywood have really been disappointing more often than not. I don’t see things getting better anytime soon.,a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User,5,10,FALSE,3,Tgilligan,Whoa. WW84 is extremely corny. The plot feels like it was ripped from an old Saturday morning cartoon. Feels like the entire point was to find a way to bring Chris Pine back, which IMHO, was not necessary at all and it shows. He does nothingWhoa. WW84 is extremely corny. The plot feels like it was ripped from an old Saturday morning cartoon. Feels like the entire point was to find a way to bring Chris Pine back, which IMHO," was not necessary at all and it shows. He does nothing besides crack some ""dude outta time"" jokes", which obviously have been done before and were corny the first hundred times.. There is cringe everywhere. The mall scene feels like a glorified Pepsi commercial. Character motivations make no sense and yet at the same time everything is extremely predictable. The action is fine, and even the acting is ok, but the story is outright terrible. Maybe it's due to the lack of big movie releases in 2020 that so many critics are enjoying this film... That's understandable. As a pure get-away mindless fun time, then this movie passes the test. If you were hoping for anything grander, then you may be disappointed. This movie is not very good and will be forgotten in time. However, since this year has been crap, if you can find enjoyment in it then I envy you.,,,,,,,,,,,,,,,,,,,,,
User,3,6,FALSE,0,Dynexicon27,The movie was straight buttt crack. Never have I ever seen some buhllshet like that before,a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User,4,8,FALSE,10,MathSoz,incredible movie, beautiful message, a super hero being a super hero! Beautiful and exciting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User,4,8,FALSE,6,TVJerry,This sequel takes place in 80s Washington, DC (there’s even a Virginia Is for Lovers banner). While pining for her true love (Chris Pine), she comes to numerous rescues… on the DL. Two villains emerge: Max Lord, a greedy huckster who wants toThis sequel takes place in 80s Washington, DC (there’s even a Virginia Is for Lovers banner). While pining for her true love (Chris Pine), she comes to numerous rescues… on the DL. Two villains emerge: Max Lord, a greedy huckster who wants to rule the world (Pedro Pascal with verve but not special) and The Cheetah, a mousy researcher with a wish for super powers (Kristen Wiig who manages to subtly incorporate her comic charm). The evil-rules-the-world theme is tired and the evolution of the story is rather dumb. What we really care about is the action and there are some moments that thrill, but most of the scenes aren’t spectacular. To make matters worse, the attempts at emotional drama get in the way of a good time. After the engaging spirit and rousing stunts in the original, this follow-up doesn’t manage to instill the same magic or thrills. BTW, look for the real-life daughters of Gadot and Jenkins in a snowball toss near the end with Gadot’s hubby and other daughter riding a carousel in that sequence. NOTE: Sit thru the early end credits for a wonderful surprise cameo.,,,,,,,,,,,,,,,,,,,,,
User,1,2,FALSE,6,Slickhuey23,I really wanted to enjoy this movie. Honestly it just didn’t do it for me. One can only hope the next one is better assuming there will be one.,a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User,1,2,FALSE,4,PerrieR,What the hell happened? The potential lost is really disappointing. Do the people who make these movies not know how bad they are? Another bad thing to add to 2020.,a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User,4,8,FALSE,3,Chomz,Cheesy, slow, 10% action, the lasso is the star of the movie, the whole Martha **** from BvS again, unnecessarily long.,,,,,,,,,,,,,,,,,,,,,,,,,,,
User,1,2,FALSE,1,Martyk_007,Diabolically bad. I had high Hope's for this movie after the first one but this movie is so bad I actually felt angry after watching it. It is a complete disjointed mess. Terrible plot, script and cgi euhhhh.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User,1,2,FALSE,2,Isles2279,Bad CGI and timeline holes aside, WW84 fails because of poor writing and a very bad/odd story. I really enjoyed the first movie...this was painful to watch.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User,1,2,FALSE,0,klebergamer,I just spend 2 and a half hours watching this movie and I can say that it is a completly waste of time!,a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User,1,2,FALSE,1,madufek,This review contains spoilers, click expand to view.                                                                                               Did the usual 80s tropes but the writing just felt off in a lot of places, some really weird choices were made in casting, plot, and action scenes. I renounce my wish, as in I wish I hadn't watched it.this movie felt like a superhero movie from the early 2000s but with 2020 cgi. oof.,,,,,,,,,,,,,,,,,,,,,,,,,,,
User,1,2,FALSE,2,Sick_Puppy,worst DC movie ever, its so sad that after the first movie they could have done this to the franchise. The movie is boring and doesn't make any sense, tries so hard to be funny but fails. It so hard to finish watching this movie. If you careworst DC movie ever, its so sad that after the first movie they could have done this to the franchise. The movie is boring and doesn't make any sense, tries so hard to be funny but fails. It so hard to finish watching this movie. If you care about the character skip it and watch ww1 again. Its a waste of time.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User,2,4,FALSE,1,marcelok,Horrible plot.Horrible villains..The first movie was better in every aspect.,a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
